date,store_id,total_sales,sales_value,total_quantity
2025-11-01,BELFAST,56061.73,86946.92,189
2025-11-02,BELFAST,33387.73,53482.3,145
2025-11-03,BELFAST,28341.18,44402.34,118
2025-11-04,BELFAST,28201.03,45196.03,126
2025-11-05,BELFAST,42751.31,68282.21,156
2025-11-06,BELFAST,33868.29,54755.21,116
2025-11-07,BELFAST,29472.4,47451.73,137
2025-11-08,BELFAST,48814.47,79497.55,193
2025-11-09,BELFAST,37346.32,60213.64,152
2025-11-10,BELFAST,36765.94,59960.96,125
2025-11-11,BELFAST,29341.03,46524.62,132
2025-11-12,BELFAST,35153.92,56867.96,138
2025-11-13,BELFAST,37428.03,60715.98,151
2025-11-14,BELFAST,40900.3,65707.88,142
2025-11-15,BELFAST,47573.68,76562.57,185
2025-11-16,BELFAST,41671.22,67021.38,158
2025-11-17,BELFAST,28056.37,44747.7,124
2025-11-18,BELFAST,33090.3,52701.61,140
2025-11-19,BELFAST,47603.29,75606.25,162
2025-11-20,BELFAST,25943.55,41005.02,123
2025-11-21,BELFAST,41799.28,68020.81,155
2025-11-22,BELFAST,38253.87,61252.51,165
2025-11-23,BELFAST,39830.25,63937.67,164
2025-11-24,BELFAST,29669.05,47713.78,117
2025-11-25,BELFAST,24079.25,40304.81,115
2025-11-26,BELFAST,35051.19,57163.74,145
2025-11-27,BELFAST,34879.67,55195.57,123
2025-11-28,BELFAST,45840.37,73765.5,208
2025-11-29,BELFAST,40478.54,66903.0,158
2025-11-30,BELFAST,50081.59,80027.93,150
2025-12-01,BELFAST,35604.06,54744.12,184
2025-12-02,BELFAST,37034.58,58940.34,169
2025-12-03,BELFAST,59894.21,93350.74,234
2025-12-04,BELFAST,35901.44,56911.27,206
2025-12-05,BELFAST,52585.16,82633.81,224
2025-12-06,BELFAST,69785.53,109850.0,239
2025-12-07,BELFAST,48189.24,75937.15,219
2025-12-08,BELFAST,40171.67,64263.51,198
2025-12-09,BELFAST,27994.97,44312.94,152
2025-12-10,BELFAST,38807.17,60477.46,189
2025-12-11,BELFAST,43417.97,68401.79,191
2025-12-12,BELFAST,25490.22,41341.59,186
2025-12-13,BELFAST,67476.54,108956.28,271
2025-12-14,BELFAST,31821.84,51110.41,205
2025-12-15,BELFAST,49282.21,76652.55,205
2025-12-16,BELFAST,31763.32,49564.14,183
2025-12-17,BELFAST,28397.73,44433.58,177
2025-12-18,BELFAST,37402.66,60117.17,194
2025-12-19,BELFAST,49191.13,77425.39,223
2025-12-20,BELFAST,73295.87,118099.76,265
2025-12-21,BELFAST,51630.25,82404.51,240
2025-12-22,BELFAST,44639.57,71578.25,171
2025-12-23,BELFAST,30375.27,49500.47,170
2025-12-24,BELFAST,36508.99,58821.42,197
2025-12-25,BELFAST,34680.37,54765.74,170
2025-12-26,BELFAST,41126.92,63895.61,196
2025-12-27,BELFAST,51438.45,83791.13,270
2025-12-28,BELFAST,47662.83,75211.39,196
2025-12-29,BELFAST,48097.93,75974.54,197
2025-12-30,BELFAST,33979.95,53552.83,161
2025-12-31,BELFAST,36730.35,59006.5,177
2026-01-01,BELFAST,16452.81,27117.32,121
2026-01-02,BELFAST,16632.9,27028.48,128
2026-01-03,BELFAST,41152.42,68450.89,186
2026-01-04,BELFAST,21785.17,36387.55,149
2026-01-05,BELFAST,24420.53,40794.24,112
2026-01-06,BELFAST,23876.05,39074.25,143
2026-01-07,BELFAST,26340.97,43401.81,114
2026-01-08,BELFAST,16426.39,26915.15,99
2026-01-09,BELFAST,25704.02,43622.6,134
2026-01-10,BELFAST,37465.36,60121.65,182
2026-01-11,BELFAST,35904.27,58542.98,135
2026-01-12,BELFAST,22851.84,38069.76,132
2026-01-13,BELFAST,19805.77,31761.94,113
2026-01-14,BELFAST,15088.76,23741.85,106
2026-01-15,BELFAST,24212.45,39208.56,132
2026-01-16,BELFAST,34965.8,59467.58,165
2026-01-17,BELFAST,35746.88,57972.64,148
2026-01-18,BELFAST,31535.44,49594.06,150
2026-01-19,BELFAST,27656.6,44675.25,139
2026-01-20,BELFAST,17011.92,27335.06,131
2026-01-21,BELFAST,20017.0,33464.26,99
2026-01-22,BELFAST,26807.52,41979.81,124
2026-01-23,BELFAST,34646.76,57829.22,170
2026-01-24,BELFAST,29368.88,47885.88,150
2026-01-25,BELFAST,18898.14,30546.42,134
2026-01-26,BELFAST,20442.65,33535.4,123
2026-01-27,BELFAST,21594.77,35562.57,114
2026-01-28,BELFAST,25428.14,42399.06,112
2026-01-29,BELFAST,37412.31,61664.34,134
2026-01-30,BELFAST,27553.05,43298.22,138
2026-01-31,BELFAST,24342.04,40535.81,169
