week,store_id,total_sales,sales_value,total_quantity
2025-W44,BELFAST,89449.46,140429.22,334
2025-W45,BELFAST,248795.0,399798.71,998
2025-W46,BELFAST,268834.12,433361.35,1031
2025-W47,BELFAST,254576.91,407271.57,1033
2025-W48,BELFAST,260079.66,421074.33,1016
2025-W49,BELFAST,338994.22,532367.43,1475
2025-W50,BELFAST,275180.38,438863.98,1392
2025-W51,BELFAST,320963.17,508697.1,1487
2025-W52,BELFAST,286432.4,457564.01,1370
2026-W01,BELFAST,214831.53,347518.11,1119
2026-W02,BELFAST,190137.59,312472.68,919
2026-W03,BELFAST,184206.94,299816.39,946
2026-W04,BELFAST,174406.82,283715.9,947
2026-W05,BELFAST,156772.96,256995.4,790
